PyECLOUD Version 8.6.0
git hash: b'4069f92c1befdc7e1ff787b95aa81c111f73ff56'
git branch: b'master'
Simulation started on 20 Mar 2022 13:24:47
Initialization finished on 20 Mar 2022 13:25:40
20 Mar 2022 13:25:40 pass. 0/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:25:41 pass. 1/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:25:42 pass. 2/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:25:43 pass. 3/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:25:44 pass. 4/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:25:45 pass. 5/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:25:46 pass. 6/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:25:47 pass. 7/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:25:48 pass. 8/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:25:49 pass. 9/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:25:50 pass. 10/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:25:51 pass. 11/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:25:52 pass. 12/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:25:53 pass. 13/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:25:54 pass. 14/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:25:55 pass. 15/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:25:56 pass. 16/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:25:57 pass. 17/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:25:59 pass. 18/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:26:00 pass. 19/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:26:01 pass. 20/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:26:02 pass. 21/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:26:03 pass. 22/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
